Iteration,DSA-C (p=0.2),DSA-C (p=0.7),DSA-C (p=1.0),MGM,MGM-2
0,2136.6797443053456,2136.6797443053456,2136.6797443053456,2136.6797443053456,2136.6797443053456
1,1584.5944308969379,1348.9397052024933,2008.196913035909,2136.6797443053456,2136.6797443053456
2,1392.5091687260697,1781.122917276696,2008.196913035909,2008.196913035909,2136.6797443053456
3,1254.039062848314,1967.1264942257258,2008.196913035909,2008.196913035909,2136.6797443053456
4,1295.4384143974498,1982.5831748862458,2008.196913035909,2008.196913035909,2008.196913035909
5,1351.4442507257243,1982.5831748862458,2008.196913035909,2008.196913035909,2008.196913035909
6,1453.077724147764,1982.5831748862458,2008.196913035909,2008.196913035909,2008.196913035909
7,1502.8199458311005,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
8,1580.2630372813385,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
9,1678.7449259498462,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
10,1738.2987976259417,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
11,1766.75853639457,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
12,1821.8315034901757,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
13,1846.3030228594632,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
14,1936.6277379135038,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
15,1955.582518949953,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
16,1964.295785699752,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
17,1963.325424402679,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
18,1990.3513824410022,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
19,2002.5303491602426,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
20,2002.5303491602426,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
21,2002.5303491602426,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
22,2007.4439537474132,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
23,2003.3419150680675,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
24,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
25,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
26,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
27,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
28,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
29,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
30,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
31,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
32,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
33,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
34,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
35,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
36,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
37,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
38,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
39,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
40,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
41,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
42,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
43,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
44,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
45,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
46,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
47,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
48,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
49,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
50,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909,2008.196913035909
