Iteration,DSA-C (p=0.2),DSA-C (p=0.7),DSA-C (p=1.0),MGM,MGM-2
0,49154.86640958478,49154.86640958478,49154.86640958478,49154.86640958478,49154.86640958478
1,48434.241143424486,47660.58467488718,48161.54443061787,49154.86640958478,49154.86640958478
2,47989.23262132779,47960.61710852324,48161.54443061787,48161.54443061787,49154.86640958478
3,47714.37557585677,48102.273265069416,48161.54443061787,48161.54443061787,49154.86640958478
4,47626.45174161045,48129.521964187246,48161.54443061787,48161.54443061787,48161.54443061787
5,47598.811564106836,48157.451091455805,48161.54443061787,48161.54443061787,48161.54443061787
6,47716.425237698175,48154.721965922705,48161.54443061787,48161.54443061787,48161.54443061787
7,47731.26531083782,48153.738897497984,48161.54443061787,48161.54443061787,48161.54443061787
8,47825.62730306981,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
9,47860.41606959687,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
10,47931.314904862236,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
11,47948.62209482406,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
12,47960.47598057965,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
13,48027.73432482372,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
14,48054.93709728273,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
15,48043.84703414051,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
16,48074.95788118554,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
17,48072.32321595372,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
18,48072.227714650246,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
19,48086.689572212985,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
20,48128.98990365323,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
21,48132.49023323353,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
22,48141.015760133196,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
23,48160.31835984202,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
24,48159.22019799379,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
25,48159.22019799379,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
26,48159.22019799379,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
27,48159.22019799379,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
28,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
29,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
30,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
31,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
32,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
33,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
34,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
35,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
36,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
37,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
38,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
39,48158.298129434654,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
40,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
41,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
42,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
43,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
44,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
45,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
46,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
47,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
48,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
49,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
50,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787,48161.54443061787
